AccX,AccY,AccZ,AngX,AngY,AngZ,class
-0.3,-0.43,0.82,-24.71,17.66,-0.28,Parado
-0.29,-0.43,0.82,-24.84,17.64,-0.27,Parado
-0.29,-0.43,0.81,-24.98,17.6,-0.27,Parado
-0.3,-0.45,0.81,-25.08,17.63,-0.32,Parado
-0.3,-0.44,0.82,-25.19,17.61,-0.31,Parado
-0.3,-0.44,0.82,-25.3,17.58,-0.3,Parado
-0.29,-0.44,0.8,-25.41,17.61,-0.32,Parado
-0.29,-0.43,0.82,-25.54,17.52,-0.31,Parado
-0.29,-0.44,0.8,-25.62,17.58,-0.32,Parado
-0.3,-0.44,0.82,-25.73,17.55,-0.31,Parado
-0.29,-0.44,0.81,-25.84,17.58,-0.31,Parado
-0.29,-0.43,0.82,-25.97,17.57,-0.32,Parado
-0.29,-0.44,0.82,-26.07,17.57,-0.32,Parado
-0.29,-0.44,0.82,-26.17,17.61,-0.32,Parado
-0.29,-0.43,0.8,-26.27,17.64,-0.33,Parado
-0.29,-0.44,0.81,-26.37,17.65,-0.35,Parado
-0.29,-0.43,0.82,-26.46,17.64,-0.35,Parado
-0.29,-0.43,0.83,-26.56,17.61,-0.35,Parado
-0.29,-0.44,0.82,-26.63,17.6,-0.34,Parado
-0.29,-0.44,0.82,-26.71,17.62,-0.35,Parado
-0.29,-0.43,0.82,-26.78,17.63,-0.33,Parado
-0.29,-0.43,0.82,-26.87,17.62,-0.32,Parado
-0.29,-0.44,0.82,-26.95,17.62,-0.31,Parado
-0.28,-0.44,0.83,-27.01,17.64,-0.3,Parado
-0.28,-0.44,0.81,-27.13,17.6,-0.32,Parado
-0.29,-0.44,0.82,-27.19,17.62,-0.3,Parado
-0.28,-0.44,0.82,-27.25,17.61,-0.3,Parado
-0.28,-0.44,0.82,-27.31,17.59,-0.28,Parado
-0.29,-0.44,0.81,-27.41,17.59,-0.3,Parado
